"abbreviation"	"name"	"compartment"
"1-piperideine-6-carboxylate"	"1-piperideine-6-carboxylate"	"c, p"
"[protein]-L-lysine"	"[protein]-L-lysine"	"c, n"
"[protein]-N6-methyl-L-lysine"	"[protein]-N6-methyl-L-lysine"	"c"
"[protein]-N6,N6-dimethyl-L-lysine"	"[protein]-N6,N6-dimethyl-L-lysine"	"c, n"
"[protein]-N6,N6,N6-trimethyl-L-lysine"	"[protein]-N6,N6,N6-trimethyl-L-lysine"	"c, n, r"
"N6,N6,N6-trimethyl-L-lysine"	"N6,N6,N6-trimethyl-L-lysine"	"c, r"
"3-hydroxy-N6,N6,N6-trimethyl-L-lysine"	"3-hydroxy-N6,N6,N6-trimethyl-L-lysine"	"c"
"4-trimethylammoniobutanal"	"4-trimethylammoniobutanal"	"c"
"gamma-butyrobetaine"	"gamma-butyrobetaine"	"c"
"L-carnitine"	"L-carnitine"	"c, m, p, r, e"
"procollagen-5-hydroxy-L-lysine"	"procollagen-5-hydroxy-L-lysine"	"c"
"5-(D-galactosyloxy)-L-lysine-procollagen"	"5-(D-galactosyloxy)-L-lysine-procollagen"	"c"
"1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen"	"1,2-D-glucosyl-5-D-(galactosyloxy)-L-lysine-procollagen"	"c"
"L-pipecolate"	"L-pipecolate"	"p"
"peptidesanslysine"	"peptidesanslysine"	"r"
"(S)-3-hydroxybutyryl-CoA"	"(S)-3-hydroxybutyryl-CoA"	"m, p"
"3-hydroxykynurenamine"	"3-hydroxykynurenamine"	"c"
"4,8-dihydroxyquinoline"	"4,8-dihydroxyquinoline"	"c"
"indole-3-acetaldehyde"	"indole-3-acetaldehyde"	"m, c"
"indoleacetate"	"indoleacetate"	"m, c"
"kynurenine"	"kynurenine"	"c"
"4-(2-aminophenyl)-2,4-dioxobutanoate"	"4-(2-aminophenyl)-2,4-dioxobutanoate"	"c"
"melatonin"	"melatonin"	"c"
"6-hydroxymelatonin"	"6-hydroxymelatonin"	"c"
"hydroxymethylglutathione"	"hydroxymethylglutathione"	"c"
"phenethylamine"	"phenethylamine"	"c"
"phenylacetaldehyde"	"phenylacetaldehyde"	"c, m"
"phenylacetate"	"phenylacetate"	"c, m"
"dopamine"	"dopamine"	"c, e, m, g"
"PAP"	"PAP"	"c, g"
"dopamine-3-O-sulfate"	"dopamine-3-O-sulfate"	"c"
"methylamine"	"methylamine"	"c"
"formylglutathione"	"formylglutathione"	"c"
"triiodothyronine"	"triiodothyronine"	"c, r, e"
"3,5,3-triiodothyronine-4-sulfate"	"3,5,3-triiodothyronine-4-sulfate"	"c"
"tyramine"	"tyramine"	"c"
"tyramine-O-sulfate"	"tyramine-O-sulfate"	"c"
"2-methylacetoacetyl-CoA"	"2-methylacetoacetyl-CoA"	"m"
"methylmalonyl-CoA"	"methylmalonyl-CoA"	"m"
"(R)-methylmalonyl-CoA"	"(R)-methylmalonyl-CoA"	"m"
"valine"	"valine"	"c, m, l, e"
"3-methyl-2-oxobutyrate"	"3-methyl-2-oxobutyrate"	"c, m"
"3-hydroxyisobutyrate"	"3-hydroxyisobutyrate"	"m"
"2-methyl-3-oxopropanoate"	"2-methyl-3-oxopropanoate"	"m, c"
"isoleucine"	"isoleucine"	"c, m, l, e"
"2-oxo-3-methylvalerate"	"2-oxo-3-methylvalerate"	"c, m"
"methylmalonate"	"methylmalonate"	"c, m"
"S-(2-methylpropanoyl)-dihydrolipoamide"	"S-(2-methylpropanoyl)-dihydrolipoamide"	"m"
"S-(2-methylbutanoyl)-dihydrolipoamide"	"S-(2-methylbutanoyl)-dihydrolipoamide"	"m"
"4-methyl-2-oxopentanoate"	"4-methyl-2-oxopentanoate"	"m, c"
"S-(3-methylbutanoyl)-dihydrolipoamide"	"S-(3-methylbutanoyl)-dihydrolipoamide"	"m"
"leucine"	"leucine"	"c, m, l, e"
"alpha-hydroxyisocaproicacid"	"alpha-hydroxyisocaproicacid"	"c"
"2-methylglutaconyl-CoA"	"2-methylglutaconyl-CoA"	"m"
"2-methylglutaconicacid"	"2-methylglutaconicacid"	"m"
"L-3-amino-isobutanoate"	"L-3-amino-isobutanoate"	"m"
"N-arachidonoylglycine"	"N-arachidonoylglycine"	"m"
"arachidonyl-CoA"	"arachidonyl-CoA"	"m, c, r, p"
"phenylalanine"	"phenylalanine"	"c, l, e"
"tetrahydrobiopterin"	"tetrahydrobiopterin"	"c, n"
"dihydrobiopterin"	"dihydrobiopterin"	"c"
"tryptophan"	"tryptophan"	"c, l, e"
"L-formylkynurenine"	"L-formylkynurenine"	"c"
"formate"	"formate"	"c, r, m, n, e"
"formylanthranilate"	"formylanthranilate"	"c"
"anthranilate"	"anthranilate"	"c"
"4-hydroxy-2-quinolinecarboxylicacid"	"4-hydroxy-2-quinolinecarboxylicacid"	"c"
"3-hydroxy-L-kynurenine"	"3-hydroxy-L-kynurenine"	"c"
"3-hydroxyanthranilate"	"3-hydroxyanthranilate"	"c"
"O2-"	"O2-"	"c, e, m, n, p"
"cinnavalininate"	"cinnavalininate"	"c"
"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"	"c"
"xanthurenate"	"xanthurenate"	"c"
"beta-carboline"	"beta-carboline"	"c"
"harman"	"harman"	"c"
"tryptamine"	"tryptamine"	"c"
"methyl-indole-3-acetate"	"methyl-indole-3-acetate"	"c"
"5-hydroxy-N-formylkynurenine"	"5-hydroxy-N-formylkynurenine"	"c"
"5-hydroxykynurenine"	"5-hydroxykynurenine"	"c"
"5-hydroxykynurenamine"	"5-hydroxykynurenamine"	"c"
"4,6-dihydroxyquinoline"	"4,6-dihydroxyquinoline"	"c"
